,1,2,3,4,5,6,7,8,9,10,11
315,19970917,0,0,0,0.177381,0.191262,0.213423,4,0.216807,0.207491,"0.225216
"
316,19970918,0.17902,4,1.13135,0.246835,0.246835,0.133068,4,20.3816,0.182256,"0.203023
"
317,19970919,0,0,0,0.194553,0.194553,0,0,0,0.154596,"0.148156
"
318,19970922,0,0,0,0.165639,0.165501,0,0,0,0.106781,"0.106781
"
319,19970923,0.182832,5,0.0896737,0.305796,0.33201,0.173069,3,0.118399,0.316882,"0.298588
"
320,19970924,0.206081,0,0.269808,0.363087,0.311503,0.151611,6,0.434413,0.213516,"0.234898
"
321,19970925,0,0,0,0.185869,0.201476,0,0,0,0.0909544,"0.0867106
"
322,19970926,0,0,0,0.164843,0.147473,0.0448759,1,0.289584,0.138985,"0.150693
"
323,19970929,0.406377,6,0.112577,0.305087,0.307903,0.501615,2,0.120422,0.247675,"0.246747
"
324,19970930,0.4011,4,0.158178,0.25169,0.229095,0.0647095,6,1.25399,0.164702,"0.162618
"
325,19971001,0.0790305,6,0.242555,0.284939,0.221816,0,0,0,0.124655,"0.124655
"
326,19971002,0,0,0,0.175245,0.175245,0,0,0,0.089301,"0.089301
"
327,19971003,0.104837,6,0.0917721,0.213626,0.224807,0.13769,0,0.083414,0.236246,"0.260928
"
328,19971006,0,0,0,0.150938,0.133269,0.141879,0,0.0462336,0.175722,"0.187786
"
329,19971007,0.0373004,4,0.693011,0.272497,0.268039,0.0198335,7,0.603867,0.129165,"0.111189
"
330,19971008,0.247629,1,0.0798554,0.226485,0.195305,0.138899,3,0.193577,0.226039,"0.22166
"
331,19971009,0.0631294,7,0.662162,0.201642,0.165737,0.204431,0,0.18415,0.24929,"0.199681
"
332,19971010,0.415417,4,0.441046,0.330927,0.298305,0.434741,6,0.365541,0.285096,"0.320351
"
333,19971013,0.55603,4,0.257669,0.331169,0.303237,0.318136,8,0.311223,0.238717,"0.273729
"
334,19971014,0,0,0,0.220394,0.220394,0,0,0,0.09409,"0.09409
"
335,19971015,0.0551176,1,0.347982,0.234713,0.201541,0.0494672,9,0.237798,0.157366,"0.190038
"
336,19971016,0.0774554,6,0.168807,0.155911,0.128923,0.0424588,4,0.1472,0.131252,"0.115835
"
337,19971017,0.348656,5,0.100979,0.241028,0.224508,0.440764,6,0.0808094,0.210027,"0.208336
"
338,19971020,0.0384423,5,0.499223,0.339133,0.305022,0.0354567,6,0.518412,0.138678,"0.116978
"
339,19971021,0,0,0,0.118219,0.118219,0,0,0,0.120066,"0.120066
"
340,19971022,0.329801,6,0.752898,0.60719,0.684669,0.728454,2,0.414823,0.497276,"0.441627
"
341,19971023,0.699968,1,0.270676,0.664993,0.681128,0.820785,5,0.19442,0.531521,"0.557297
"
342,19971024,0.115154,4,0.159733,0.29788,0.26696,0.179592,5,0.0825739,0.190086,"0.192
"
343,19971027,0.365596,0,0.265935,0.364147,0.359417,0.603332,2,0.159878,0.333117,"0.350448
"
344,19971028,0.437107,0,0.529558,0.550638,0.534665,0.327096,6,0.718449,0.374968,"0.38355
"
345,19971029,0.275285,1,0.410939,0.461631,0.365648,0.13041,6,0.299599,0.192881,"0.226309
"
346,19971030,0.032445,3,1.42596,0.310847,0.274091,0.0268255,4,0.326238,0.178562,"0.158091
"
347,19971031,0.305546,3,0.12179,0.310503,0.347,0.224167,5,0.0971256,0.202528,"0.198982
"
348,19971103,0,0,0,0.232007,0.218468,0.250684,2,0.154986,0.152763,"0.157741
"
